Model,item_upc,quantity,Products_price
7009-01,855559003305,30,11.98
7009-21,855559003206,31,5.98
7009-81,855559004302,3,119
7092-03,850735005029,41,12.63
7092-23,850735005012,57,7.45
7135-30,699439006051,76,20
7217-21,720184101019,129,3.77
7217-24,720184101040,55,12.08
7217-25,720184101156,60,21.16
7217-29,720184101088,57,15.08
7217-62,720184103020,22,6.63
7217-69,720184103082,0,13.45
7218-01,726893120037,77,2.59
7230BG,802190000330,0,4.35
7230BL,802190000095,8,4.35
7230BR,802190001689,1,4.35
7230C,802190000101,0,4.35
7230CC,802190000347,0,4.35
7230CI,802190000156,0,4.35
7230OC,802190001740,0,4.35
7230P,802190000323,0,4.35
7230PC,802190000187,0,4.35
7230PF,802190000132,0,4.35
7230R,802190000644,0,4.35
7230RC,802190000316,1,4.35
7230S,802190000149,0,4.35
7230V,802190000163,9,4.35
7230W,802190000217,0,4.35
7235-02,679359000858,29,7.38
7235-04,679359000865,20,9.92
7235-22,679359001343,22,7.38
7235-24,679359001350,29,9.92
7235-42,679359000018,21,12.4
7237-01,679359000919,26,11.55
7237-02,679359000926,68,10.7
7237-31,679359000759,0,12.92
7276-02,5022782888725,0,3.15
7284-21,720184207025,0,6.57
7289-01,184755000055,29,1.44
7289-02,184755000000,147,6.97
7289-04,184755000017,80,9.64
7289-08,184755000024,72,13.5
7289-16,184755000031,60,20.39
7289-22,184755000505,295,6.21
7289-24,184755000512,163,8.05
7289-26,184755000536,38,19.9
7289-28,184755000529,65,11.75
7289-32,184755000604,90,9.77
7289-34,184755000611,63,14.83
7289-38,184755000628,41,23.6
7315-01,761236900600,61,5.72
7315-02,761236900617,57,9.68
7315-04,761236900624,34,15.72
7315-08,761236900631,28,24.75
7315-12ML,PACPDK,139,1.52
7316-05,761236501067,14,14.4
7323-51,761236900686,43,5.59
7323-52,761236900693,39,9.98
7324-01,761236900310,33,6.78
7324-02,761236900358,22,6.78
7324-03,761236900327,16,6.78
7324-04,761236900341,51,6.78
7324-11,761236900907,35,3.71
7324-12,761236901027,54,3.71
7324-13,761236900990,15,3.71
7324-14,761236901010,38,3.71
7324-16,761236901003,34,3.71
7361-1,739122002165,20,9
7361-2,739122002172,23,9
7366-01,739122002103,80,9
7376HB,739122000222,10,11
7376PG,739122000161,7,11
7376SA,739122000215,31,11
7376SS,739122000239,26,11
7376SY,739122000154,29,11
7379-2,739122000246,21,23
7552-08,685634101073,6,13.2
7552-09,685634101455,34,13.2
7552-11,685634101851,19,19.8
7565-2,740805200020,243,2.34
7566-2,740805250049,164,3.65
7589-3,685634302418,17,7.15
7589-4,685634302432,1,7.15
7590-01,685634000246,88,5.5
7590-06,685634000284,7,5.5
7605-01EA,022600920502,112,1.99
7605-02EA,022600930501,79,2.05
7605-03EA,022600940500,71,2.4
7605-05EA,022600926207,32,2.4
7605-07EA,022600642039,78,2.4
7605-10EA,022600973201,76,2.4
7605-12EA,022600646037,6,2.83
7605-15EA,022600931508,83,2.4
7605-16EA,022600960034,91,2.83
7605-17EA,022600947219,94,2.83
7605-18EA,022600647201,0,3.48
7605-20EA,022600957058,82,3.48
7605-21EA,022600957010,80,2.83
7605-22EA,022600642084,82,2.83
7605-24EA,022600228875,89,10.11
7605-25EA,022600019619,54,3.48
7605-26EA,022600228882,109,3.48
7605-27EA,022600020158,62,2.4
7605-29EA,022600019879,84,3.48
7605-30EA,022600927204,77,2.83
7606-01,022600642145,68,8.47
7606-02,022600972525,51,9.2
7606-07,022600647140,91,8.47
7606-08,022600926429,65,8.47
7606-093,022600643135,40,10.11
7606-098,022600906681,46,10.11
7606-10,022600937524,77,7.33
7606-14,022600926740,59,10.11
7607-01,302340300421,27,3.17
7607-04,302340096584,41,3.17
BMS26616,677613266163,0,26.25
SEN889-FPK,855559008010,18,14
SEN890-OPK,855559008027,6,12.5
SS100-79,646709100797,44,6.77
KX1302-AG-C,852531004060,0,11.55
KX1307-BK-A,852531004244,1,11.55
KX1307-BK-B,852531004251,0,11.55
KX1307-BK-C,852531004268,0,11.55
KX1307-BK-D,852531004275,0,11.55
KX1310-BK-A,852531004367,2,11.55
KX1310-BK-B,852531004374,0,11.55
KX1310-BK-C,852531004381,0,11.55
KX1310-BK-D,852531004398,0,11.55
EBC5308-PL-OS,763036271898,5,13.95
RR7010-RD-OS,017036825699,10,5
RR8019-WH-OS,017036417252,4,1.6
BI-014320,6959532315127,20,25.54
BI-014332,6959532315912,15,15.79
VI-B0303,731882511505,0,27
VI-B0309,731882511499,5,27
VI-BU-0501,731882511659,21,25.6
VI-BU-0503,731882511666,48,25.6
VI-F0303,731882511543,56,25.6
VI-F0309,731882511536,33,25.6
VI-M0603,731882511710,48,24.75
VI-P0808,731882511598,23,35.9
SS760-25,646709760250,28,12.49
SS760-26,646709760267,21,12.49
SS760-27,646709760274,10,12.49
SS520-30,646709520304,26,10.4
SS690-07,646709690076,20,24.97
SS510-81,646709510817,29,10.4
BL80275,735380802752,87,8.813
UMDX-TC,5060140200710,10,6.3
SS520-20,646709520205,10,20.83
SS520-00,646709520007,26,9.16
SS690-06,646709690069,37,15.75
SS690-04,646709690045,20,16.63
SS690-03,646709690038,36,16.63
C114-BK-OS,883124087535,9,9.08
C114-BK-X0,883124087542,9,9.08
C114-PK-X0,883124091785,0,9.08
C114-RD-OS,883124091754,0,9.08
C114-RD-X0,883124091761,5,9.08
C114-PK-OS,883124091778,12,9.08
C114-WH-OS,883124091730,0,9.08
C114-WH-X0,883124091747,0,9.08
OLL2066-WH-OS,813793044126,8,4
SS510-85,646709510855,40,7.92
RR7002-PK-OS,017036326691,12,3.5
RR1037-RBK-ML,017036465741,14,2.5
RR1037-RBK-SM,017036465734,3,2.5
SS921-15,646709921156,26,8.41
GW1303-BR-OS,081159834494,18,14.95
GW1623-NP-OS,013189250647,7,14.5
GW1626-MEB-OS,013189250500,14,15.95
EBC1853-BK-OS,763036006476,0,9.95
OLB4100-BK-OQ,813793050592,14,15
AK8012-BK-OS,883045901064,0,11.5
RR1046-PK-SM,017036916267,0,4
OLB4100-BK-OS,813793012460,11,13
OLB4100-RD-OQ,813793050608,7,15
OLB4100-RD-OS,813793014259,23,13
OLL2066-BK-OS,813793016468,19,4
OLL2066-BK-X2,813793048155,16,5
OLL2066-BK-X4,813793048193,7,5
OLL2066-HP-OS,813793022438,5,4
OLL2066-HP-X2,813793048179,11,5
OLL2066-HP-X4,813793048216,14,5
OLL2066-RD-OS,813793022414,9,4
OLL2066-RD-X2,813793048162,9,5
OLL2066-WH-X2,813793059656,2,5
OLL2066-WH-X4,813793059663,6,5
SE0497-04,716770043153,28,5.75
SE0497-14,716770043177,26,5.75
SE1105-05,716770004024,24,4.95
SE1107-09,716770004048,18,4.6
DJ0949-09,782421006501,13,12.7
DJ1010-02,782421152703,21,23.72
9876-43,894757001973,12,10
BL04091,853858007161,35,18.732
BLBN32262,735380322625,23,8.75
BLBN32265,735380322656,17,8.316
PD1976-12,603912755626,17,9.5
SE0497-30,716770085252,26,5.7
SE0497-40,716770085276,32,5.7
SE1118-20,716770048042,20,8.75
SE5665-10,716770033390,14,4.85
XRAB576,811847013104,34,4.74
XRAE385,848518018830,18,4.45
XRMI200,811847011902,40,18.9
DJ0690-21,782421020439,12,20.02
SE1326-10,716770090393,15,8.95
SE1118-10,716770048059,32,8
SE0044-14,716770050205,17,9.85
PD1908-00,603912183962,41,12.5
BL05510,735380055103,35,5.558
PD1985-11,603912757583,12,14
PD3035-11,603912312584,9,13.5
